arch,hidden_size,regularizer,if_mode,L,T,sigma,acc_mean,acc_std,n_seeds
fc3rev_h64,64,no_regularization,rate_uniform,16,16,0.20,97.188000,0.189394,5
fc3rev_h64,64,no_regularization,rate_uniform,16,16,0.25,97.190000,0.152151,5
fc3rev_h64,64,no_regularization,rate_uniform,16,16,0.30,97.108000,0.284025,5
fc3rev_h64,64,no_regularization,rate_uniform,16,16,0.35,97.138000,0.148560,5
fc3rev_h64,64,no_regularization,rate_uniform,16,16,0.40,97.122000,0.149566,5
fc3rev_h64,64,no_regularization,rate_uniform,16,16,0.45,97.148000,0.205597,5
fc3rev_h64,64,no_regularization,rate_uniform,16,16,0.50,97.094000,0.141704,5
fc3rev_h64,64,no_regularization,rate_uniform,16,16,0.55,96.964000,0.265009,5
fc3rev_h64,64,no_regularization,rate_uniform,16,16,0.60,96.964000,0.162573,5
fc3rev_h64,64,no_regularization,rate_uniform,16,16,0.65,96.982000,0.185391,5
fc3rev_h64,64,no_regularization,rate_uniform,16,16,0.70,96.920000,0.183576,5
fc3rev_h64,64,no_regularization,rate_uniform,16,16,0.75,96.950000,0.151162,5
fc3rev_h64,64,no_regularization,rate_uniform,16,16,0.80,96.764000,0.152742,5
fc3rev_h64,64,no_regularization,rate_uniform,16,16,0.85,96.864000,0.164104,5
fc3rev_h64,64,no_regularization,rate_uniform,16,16,0.90,96.832000,0.156589,5
fc3rev_h64,64,no_regularization,rate_uniform,16,16,0.95,96.770000,0.207966,5
fc3rev_h64,64,no_regularization,rate_uniform,16,16,1.00,96.716000,0.164712,5
fc3rev_h64,64,weight_decay,rate_uniform,16,16,0.00,98.022000,0.149064,5
fc3rev_h64,64,weight_decay,rate_uniform,16,16,0.05,98.014000,0.120955,5
fc3rev_h64,64,weight_decay,rate_uniform,16,16,0.10,98.004000,0.124619,5
fc3rev_h64,64,weight_decay,rate_uniform,16,16,0.15,98.006000,0.099649,5
fc3rev_h64,64,weight_decay,rate_uniform,16,16,0.20,97.962000,0.105688,5
fc3rev_h64,64,weight_decay,rate_uniform,16,16,0.25,97.928000,0.091761,5
fc3rev_h64,64,weight_decay,rate_uniform,16,16,0.30,97.966000,0.119917,5
