arch,hidden_size,regularizer,L,T,seed,if_mode,acc,checkpoint
fc3_h4,4,weight_decay,32,4,40,normal,71.580000,mnist-checkpoints/fc3_h4_L[32]_strict_seed40_ablation_wd_l32_fc3_h4.pth
fc3_h4,4,weight_decay,32,4,41,normal,50.080000,mnist-checkpoints/fc3_h4_L[32]_strict_seed41_ablation_wd_l32_fc3_h4.pth
fc3_h4,4,weight_decay,32,4,42,normal,64.070000,mnist-checkpoints/fc3_h4_L[32]_strict_seed42_ablation_wd_l32_fc3_h4.pth
fc3_h4,4,weight_decay,32,4,43,normal,69.780000,mnist-checkpoints/fc3_h4_L[32]_strict_seed43_ablation_wd_l32_fc3_h4.pth
fc3_h4,4,weight_decay,32,4,44,normal,50.980000,mnist-checkpoints/fc3_h4_L[32]_strict_seed44_ablation_wd_l32_fc3_h4.pth
fc3_h4,4,weight_decay,32,8,40,normal,79.180000,mnist-checkpoints/fc3_h4_L[32]_strict_seed40_ablation_wd_l32_fc3_h4.pth
fc3_h4,4,weight_decay,32,8,41,normal,64.280000,mnist-checkpoints/fc3_h4_L[32]_strict_seed41_ablation_wd_l32_fc3_h4.pth
fc3_h4,4,weight_decay,32,8,42,normal,79.960000,mnist-checkpoints/fc3_h4_L[32]_strict_seed42_ablation_wd_l32_fc3_h4.pth
fc3_h4,4,weight_decay,32,8,43,normal,80.600000,mnist-checkpoints/fc3_h4_L[32]_strict_seed43_ablation_wd_l32_fc3_h4.pth
fc3_h4,4,weight_decay,32,8,44,normal,66.050000,mnist-checkpoints/fc3_h4_L[32]_strict_seed44_ablation_wd_l32_fc3_h4.pth
fc3_h4,4,weight_decay,32,16,40,normal,82.320000,mnist-checkpoints/fc3_h4_L[32]_strict_seed40_ablation_wd_l32_fc3_h4.pth
fc3_h4,4,weight_decay,32,16,41,normal,71.600000,mnist-checkpoints/fc3_h4_L[32]_strict_seed41_ablation_wd_l32_fc3_h4.pth
fc3_h4,4,weight_decay,32,16,42,normal,81.740000,mnist-checkpoints/fc3_h4_L[32]_strict_seed42_ablation_wd_l32_fc3_h4.pth
fc3_h4,4,weight_decay,32,16,43,normal,82.240000,mnist-checkpoints/fc3_h4_L[32]_strict_seed43_ablation_wd_l32_fc3_h4.pth
fc3_h4,4,weight_decay,32,16,44,normal,70.780000,mnist-checkpoints/fc3_h4_L[32]_strict_seed44_ablation_wd_l32_fc3_h4.pth
fc3_h4,4,weight_decay,32,32,40,normal,82.690000,mnist-checkpoints/fc3_h4_L[32]_strict_seed40_ablation_wd_l32_fc3_h4.pth
fc3_h4,4,weight_decay,32,32,41,normal,72.650000,mnist-checkpoints/fc3_h4_L[32]_strict_seed41_ablation_wd_l32_fc3_h4.pth
fc3_h4,4,weight_decay,32,32,42,normal,82.150000,mnist-checkpoints/fc3_h4_L[32]_strict_seed42_ablation_wd_l32_fc3_h4.pth
fc3_h4,4,weight_decay,32,32,43,normal,82.730000,mnist-checkpoints/fc3_h4_L[32]_strict_seed43_ablation_wd_l32_fc3_h4.pth
fc3_h4,4,weight_decay,32,32,44,normal,71.120000,mnist-checkpoints/fc3_h4_L[32]_strict_seed44_ablation_wd_l32_fc3_h4.pth
fc3_h8,8,weight_decay,2,2,40,normal,91.720000,mnist-checkpoints/fc3_h8_L[2]_strict_seed40_ablation_wd_l2_fc3_h8.pth
fc3_h8,8,weight_decay,2,2,41,normal,89.010000,mnist-checkpoints/fc3_h8_L[2]_strict_seed41_ablation_wd_l2_fc3_h8.pth
fc3_h8,8,weight_decay,2,2,42,normal,83.290000,mnist-checkpoints/fc3_h8_L[2]_strict_seed42_ablation_wd_l2_fc3_h8.pth
fc3_h8,8,weight_decay,2,2,43,normal,91.400000,mnist-checkpoints/fc3_h8_L[2]_strict_seed43_ablation_wd_l2_fc3_h8.pth
fc3_h8,8,weight_decay,2,2,44,normal,75.850000,mnist-checkpoints/fc3_h8_L[2]_strict_seed44_ablation_wd_l2_fc3_h8.pth
fc3_h8,8,weight_decay,2,4,40,normal,92.650000,mnist-checkpoints/fc3_h8_L[2]_strict_seed40_ablation_wd_l2_fc3_h8.pth
