family,arch,size_label,hidden_size,c1,c2,regularizer,L,T,seed,if_mode,acc,checkpoint
cnn2,cnn2_c8_c16,c8c16,,8,16,weight_decay,8,0,44,normal,98.950000,mnist-checkpoints/cnn2_c8_c16_L[8]_strict_seed44_ablation_wd_l8_cnn2_c8_c16.pth
cnn2,cnn2_c8_c16,c8c16,,8,16,weight_decay,16,0,40,normal,99.030000,mnist-checkpoints/cnn2_c8_c16_L[16]_strict_seed40_ablation_wd_l16_cnn2_c8_c16.pth
cnn2,cnn2_c8_c16,c8c16,,8,16,weight_decay,16,0,41,normal,99.070000,mnist-checkpoints/cnn2_c8_c16_L[16]_strict_seed41_ablation_wd_l16_cnn2_c8_c16.pth
cnn2,cnn2_c8_c16,c8c16,,8,16,weight_decay,16,0,42,normal,99.020000,mnist-checkpoints/cnn2_c8_c16_L[16]_strict_seed42_ablation_wd_l16_cnn2_c8_c16.pth
cnn2,cnn2_c8_c16,c8c16,,8,16,weight_decay,16,0,43,normal,99.170000,mnist-checkpoints/cnn2_c8_c16_L[16]_strict_seed43_ablation_wd_l16_cnn2_c8_c16.pth
cnn2,cnn2_c8_c16,c8c16,,8,16,weight_decay,16,0,44,normal,99.000000,mnist-checkpoints/cnn2_c8_c16_L[16]_strict_seed44_ablation_wd_l16_cnn2_c8_c16.pth
cnn2,cnn2_c8_c16,c8c16,,8,16,weight_decay,32,0,40,normal,99.010000,mnist-checkpoints/cnn2_c8_c16_L[32]_strict_seed40_ablation_wd_l32_cnn2_c8_c16.pth
cnn2,cnn2_c8_c16,c8c16,,8,16,weight_decay,32,0,41,normal,99.100000,mnist-checkpoints/cnn2_c8_c16_L[32]_strict_seed41_ablation_wd_l32_cnn2_c8_c16.pth
cnn2,cnn2_c8_c16,c8c16,,8,16,weight_decay,32,0,42,normal,99.090000,mnist-checkpoints/cnn2_c8_c16_L[32]_strict_seed42_ablation_wd_l32_cnn2_c8_c16.pth
cnn2,cnn2_c8_c16,c8c16,,8,16,weight_decay,32,0,43,normal,99.020000,mnist-checkpoints/cnn2_c8_c16_L[32]_strict_seed43_ablation_wd_l32_cnn2_c8_c16.pth
cnn2,cnn2_c8_c16,c8c16,,8,16,weight_decay,32,0,44,normal,98.980000,mnist-checkpoints/cnn2_c8_c16_L[32]_strict_seed44_ablation_wd_l32_cnn2_c8_c16.pth
fc3,fc3_h128,h128,128,,,weight_decay,2,0,40,normal,97.300000,mnist-checkpoints/fc3_h128_L[2]_strict_seed40_ablation_wd_l2_fc3_h128.pth
fc3,fc3_h128,h128,128,,,weight_decay,2,0,41,normal,97.330000,mnist-checkpoints/fc3_h128_L[2]_strict_seed41_ablation_wd_l2_fc3_h128.pth
fc3,fc3_h128,h128,128,,,weight_decay,2,0,42,normal,97.330000,mnist-checkpoints/fc3_h128_L[2]_strict_seed42_ablation_wd_l2_fc3_h128.pth
fc3,fc3_h128,h128,128,,,weight_decay,2,0,43,normal,97.400000,mnist-checkpoints/fc3_h128_L[2]_strict_seed43_ablation_wd_l2_fc3_h128.pth
fc3,fc3_h128,h128,128,,,weight_decay,2,0,44,normal,97.350000,mnist-checkpoints/fc3_h128_L[2]_strict_seed44_ablation_wd_l2_fc3_h128.pth
fc3,fc3_h128,h128,128,,,weight_decay,4,0,40,normal,97.750000,mnist-checkpoints/fc3_h128_L[4]_strict_seed40_ablation_wd_l4_fc3_h128.pth
